DISTRICT_ID,DISTRICT_NAME
614,Farrukhabad
615,Kushi Nagar
616,Unnao
617,Auraiya
618,Maharajganj
619,Moradabad
620,Meerut
621,Gonda
622,Bahraich
623,Etawah
624,Ballia
625,Ghaziabad
626,Firozabad
627,Prayagraj
628,Agra
629,Kanpur Dehat
630,Amethi
631,Mirzapur
632,Sitapur
633,Ayodhya
634,Rampur
635,Azamgarh
636,Shamli
637,Baghpat
638,Lalitpur
639,Gorakhpur
640,Sultanpur
641,Shahjahanpur
642,Varanasi
643,Hardoi
644,Bulandshahr
645,Chandauli
646,Muzaffarnagar
647,Fatehpur
648,Siddharth Nagar
649,Banda
650,Hapur
651,Sonbhadra
652,Kasganj
653,Bijnor
654,Barabanki
655,Budaun
656,Mahoba
657,Saharanpur
658,Sambhal
659,Mathura
660,Kanpur Nagar
661,Etah
662,Hathras
663,Bareilly
664,Mainpuri
665,Kaushambi
666,Mau
667,Chitrakoot
668,Kheri
669,Jalaun
670,Shravasti
671,Lucknow
672,Kannauj
673,Rae Bareli
674,Pilibhit
675,Sant Kabeer Nagar
676,Deoria
677,Aligarh
678,Gautam Buddha Nagar
679,Ambedkar Nagar
680,Basti
681,Amroha
682,Pauri Garhwal
683,Rudra Prayag
684,Chamoli
685,Uttar Kashi
686,Bageshwar
687,Tehri Garhwal
688,Pithoragarh
689,Champawat
690,Almora
691,Nainital
692,Dehradun
693,Haridwar
694,Udam Singh Nagar
695,Maldah
696,Darjeeling
697,Purba Bardhaman
698,Hooghly
699,Dinajpur Dakshin
700,Coochbehar
701,24 Paraganas North
702,Jalpaiguri
703,Birbhum
704,24 Paraganas South
705,Murshidabad
706,Paschim Bardhaman
707,Medinipur West
708,Howrah
709,Alipurduar
710,Medinipur East
711,Nadia
712,Dinajpur Uttar
713,Purulia
714,Bankura
715,Kalimpong
716,Jhargram
